timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag
2026-04-24T22:09:14.834545,45.07,0,,,0.0,0.0,0,0.0,100,0
2026-04-24T22:09:15.083419,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:15.332354,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:15.951780,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:16.202752,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:16.454606,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:17.007385,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:17.260765,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:17.868467,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:18.110014,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:18.353318,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:31.033970,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:31.635366,45.07,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:31.874766,45.06,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:32.115571,45.06,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:32.360011,45.06,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:32.726320,45.06,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:32.965623,45.06,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:33.211296,45.06,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:33.820745,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:34.064279,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:34.307408,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:34.925097,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:35.170278,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:35.417487,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:35.970101,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:36.214019,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:36.458604,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:37.035839,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:37.285021,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:37.895194,44.99,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:38.136556,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:38.381259,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:38.915173,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:39.164330,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:39.415209,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:39.968810,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:40.210492,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:09:40.455650,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:10:17.595654,44.98,0,,,0.0,0.0,4.5,0.0,100,0
2026-04-24T22:10:17.882050,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:18.132605,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:18.373118,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:18.612908,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:18.852670,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:19.091597,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:19.331292,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:19.569558,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:19.819771,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:20.068764,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:20.309972,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:20.550193,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:20.789523,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:21.029983,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:21.270907,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:21.510249,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:21.755310,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:22.003439,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:22.248112,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:22.489181,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:22.730278,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:22.973088,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:23.215239,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:23.456651,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:23.715722,44.98,0,,,0.0,0.0,4.5,0.0,93,0
2026-04-24T22:10:23.961988,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:24.205367,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:24.447928,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:24.687571,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:24.934647,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:25.174170,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:25.417660,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:25.661051,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:25.922466,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:26.167689,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:26.410562,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:26.650258,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:26.890574,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:27.130902,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:27.370829,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:27.610698,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:27.858009,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:28.102957,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:28.342613,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:28.581210,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:28.820600,44.98,0,,,0.0,0.0,4.5,0.0,94,0
2026-04-24T22:10:29.060551,44.98,0,,,0.0,0.0,4.5,0.0,94,0
