timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-26T20:55:54.725575,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.725413,4.187
2026-04-26T20:55:54.755576,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.755441,4.199
2026-04-26T20:55:54.781983,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.781856,4.199
2026-04-26T20:55:54.808475,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.808353,4.199
2026-04-26T20:55:54.835205,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.835050,4.199
2026-04-26T20:55:54.862598,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.861037,4.199
2026-04-26T20:55:54.905011,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.904761,4.199
2026-04-26T20:55:54.932488,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.932359,4.199
2026-04-26T20:55:54.958598,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.958473,4.199
2026-04-26T20:55:54.985912,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:54.985757,4.199
2026-04-26T20:55:55.011794,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.011662,4.199
2026-04-26T20:55:55.037977,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.037876,4.199
2026-04-26T20:55:55.063886,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.063704,4.199
2026-04-26T20:55:55.089971,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.089852,4.199
2026-04-26T20:55:55.116147,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.116018,4.199
2026-04-26T20:55:55.141750,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.141645,4.199
2026-04-26T20:55:55.167084,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.166963,4.199
2026-04-26T20:55:55.192696,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.192544,4.199
2026-04-26T20:55:55.219137,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.219020,4.199
2026-04-26T20:55:55.294345,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.294206,4.199
2026-04-26T20:55:55.320670,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.320551,4.199
2026-04-26T20:55:55.346134,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.345999,4.199
2026-04-26T20:55:55.372699,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.372588,4.199
2026-04-26T20:55:55.398139,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.398018,4.199
2026-04-26T20:55:55.423603,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.423500,4.199
2026-04-26T20:55:55.449725,0.0,0,0.0,0.0,0.0,0.0,0,0.0,100,0,60.0,2026-04-26T20:56:55.449607,4.199
