timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-26T19:50:17.399056,0.0,0,0.0,0.0,0.0,0.0,4.199,0.0,100,0,60.0,2026-04-26T19:51:17.398684,4.199
2026-04-26T19:50:18.420418,35.58,0.3,12.47,0.0034,0.0,0.0,4.199,0.0,100,0,60.0,2026-04-26T19:51:18.420108,4.199
2026-04-26T19:50:18.450885,35.58,0.3,26.24,0.0114,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:18.450780,4.203
2026-04-26T19:50:18.479354,35.58,0.3,30.28,0.0141,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:18.479246,4.203
2026-04-26T19:50:19.479042,35.58,0.3,34.67,0.017,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:19.478756,4.2
2026-04-26T19:50:19.513025,35.58,0.3,36.13,0.018,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:19.512860,4.2
2026-04-26T19:50:19.550975,35.58,0.3,36.79,0.0184,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:19.550831,4.2
2026-04-26T19:50:20.548061,35.57,0.3,37.66,0.0187,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:20.547860,4.2
2026-04-26T19:50:20.576555,35.57,0.3,37.9,0.0189,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:20.576429,4.201
2026-04-26T19:50:21.574127,35.57,0.3,38.09,0.0185,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:21.573811,4.201
2026-04-26T19:50:21.629157,35.57,0.3,38.19,0.0189,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:21.628876,4.201
2026-04-26T19:50:21.665186,35.57,0.3,38.23,0.0191,1000.0,0.0,4.199,97.6,100,0,60.0,2026-04-26T19:51:21.665012,4.202
